Province,Biomass\timestep,1,2,3,4,5,6,7,8,9,10,11,12
Province_08,4. Bagasse,390857.32,390857.32,0,0,0,0,0,0,0,0,0,390857.32
Province_08,5. Molasse,69795.95,69795.95,0,0,0,0,0,0,0,0,0,69795.95
Province_08,6. Corn leaves & trunk,138,152.72,890.56,2932.96,629.28,31.28,69.92,2397.52,4460.16,13816.56,48060.8,15283.04
Province_08,7. Corncobob,18,19.92,116.16,382.56,82.08,4.08,9.12,312.72,581.76,1802.16,6268.8,1993.44
Province_08,8. Peeled cassava,243172.08,215103.6,377529.84,74893.68,21683.52,24609.6,5454,4523.04,19288.8,86068.08,79815.6,178122.24
Province_08,9. Cassava rhizome,67547.8,59751,104869.4,20803.8,6023.2,6836,1515,1256.4,5358,23907.8,22171,49478.4
Province_08,10. Cassava fiber,20264.34,17925.3,31460.82,6241.14,1806.96,2050.8,454.5,376.92,1607.4,7172.34,6651.3,14843.52
Province_08,11. Cassava peels,94566.92,83651.4,146817.16,29125.32,8432.48,9570.4,2121,1758.96,7501.2,33470.92,31039.4,69269.76
Province_08,12 Oil palm bunch,138.24,135.68,48,40.64,198.4,199.68,208,207.68,176.96,169.6,166.08,166.08
Province_08,13. Oil palm fiber,82.08,80.56,28.5,24.13,117.8,118.56,123.5,123.31,105.07,100.7,98.61,98.61
Province_08,14. Oil palm shell,17.28,16.96,6,5.08,24.8,24.96,26,25.96,22.12,21.2,20.76,20.76
Province_08,15. Coconut bunch,194.01,704.12,918.14,121.22,91.64,0,80.33,0,155.44,730.8,573.04,762.41
Province_08,16. Coconut bract,220.77,801.24,1044.78,137.94,104.28,0,91.41,0,176.88,831.6,652.08,867.57
Province_08,17. Coconut shell,167.25,607,791.5,104.5,79,0,69.25,0,134,630,494,657.25
Province_09,1. Rice straw,0,0,0,0,0,0,0,0,0,54.88,2046.24,208.74
Province_09,2. Rice Husk,0,0,0,0,0,0,0,0,0,23.52,876.96,89.46
Province_09,3. Sugarcane leaves,2652.963333,2652.963333,0,0,0,0,0,0,0,0,0,2652.963333
Province_09,4. Bagasse,4369.586667,4369.586667,0,0,0,0,0,0,0,0,0,4369.586667
Province_09,5. Molasse,780.2833333,780.2833333,0,0,0,0,0,0,0,0,0,780.2833333
Province_09,6. Corn leaves & trunk,75.44,80.96,31.28,25.76,16.56,261.28,3396.64,1080.08,336.72,373.52,2099.44,982.56
Province_09,7. Corncobob,9.84,10.56,4.08,3.36,2.16,34.08,443.04,140.88,43.92,48.72,273.84,128.16
Province_09,8. Peeled cassava,9653.76,12564.72,12278.16,1689.84,390.24,0,0,0,0,618.48,1320.48,3006
Province_09,9. Cassava rhizome,2681.6,3490.2,3410.6,469.4,108.4,0,0,0,0,171.8,366.8,835
Province_09,10. Cassava fiber,804.48,1047.06,1023.18,140.82,32.52,0,0,0,0,51.54,110.04,250.5
Province_09,11. Cassava peels,3754.24,4886.28,4774.84,657.16,151.76,0,0,0,0,240.52,513.52,1169
Province_09,12 Oil palm bunch,934.72,981.76,1230.08,1473.6,1784,1967.04,1846.08,1620.48,1337.92,1184.32,1022.72,954.24
Province_09,13. Oil palm fiber,554.99,582.92,730.36,874.95,1059.25,1167.93,1096.11,962.16,794.39,703.19,607.24,566.58
Province_09,14. Oil palm shell,116.84,122.72,153.76,184.2,223,245.88,230.76,202.56,167.24,148.04,127.84,119.28
Province_09,15. Coconut bunch,21249.75,16867.27,12505.96,14387.19,15627.23,16247.25,21869.48,23750.71,17508.46,20629.73,21249.75,11886.23
Province_09,16. Coconut bract,24180.75,19193.79,14230.92,16371.63,17782.71,18488.25,24885.96,27026.67,19923.42,23475.21,24180.75,13525.71
Province_09,17. Coconut shell,18318.75,14540.75,10781,12402.75,13471.75,14006.25,18853,20474.75,15093.5,17784.25,18318.75,10246.75
Province_10,1. Rice straw,216.09,70.56,167.58,9220.82,28460.67,6656.65,1082.9,842.31,0,14395.71,120261.68,13234.41
Province_10,2. Rice Husk,92.61,30.24,71.82,3951.78,12197.43,2852.85,464.1,360.99,0,6169.59,51540.72,5671.89
Province_10,3. Sugarcane leaves,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,4. Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,5. Molasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,6. Corn leaves & trunk,28098.64,24976.16,12885.52,11840.4,11192.72,7148.4,15993.28,18131.36,18276.72,104587.44,123596.48,55799.84
Province_10,7. Corncobob,3665.04,3257.76,1680.72,1544.4,1459.92,932.4,2086.08,2364.96,2383.92,13641.84,16121.28,7278.24
Province_10,8. Peeled cassava,1360.8,919.44,3281.04,684,393.84,0,0,0,0,32.4,54.72,810.72
Province_10,9. Cassava rhizome,378,255.4,911.4,190,109.4,0,0,0,0,9,15.2,225.2
Province_10,10. Cassava fiber,113.4,76.62,273.42,57,32.82,0,0,0,0,2.7,4.56,67.56
Province_10,11. Cassava peels,529.2,357.56,1275.96,266,153.16,0,0,0,0,12.6,21.28,315.28
Province_10,12 Oil palm bunch,0,0,28.8,28.8,57.6,57.6,57.6,57.6,85.76,57.6,57.6,57.6
Province_10,13. Oil palm fiber,0,0,17.1,17.1,34.2,34.2,34.2,34.2,50.92,34.2,34.2,34.2
Province_10,14. Oil palm shell,0,0,3.6,3.6,7.2,7.2,7.2,7.2,10.72,7.2,7.2,7.2
Province_10,15. Coconut bunch,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,16. Coconut bract,0,0,0,0,0,0,0,0,0,0,0,0
Province_10,17. Coconut shell,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,1. Rice straw,2150.61,0,134.26,6879.11,113565.83,21206.22,1150.03,593.39,0,18436.74,269724.42,20135.57
Province_11,2. Rice Husk,921.69,0,57.54,2948.19,48671.07,9088.38,492.87,254.31,0,7901.46,115596.18,8629.53
Province_11,3. Sugarcane leaves,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,4. Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,5. Molasse,0,0,0,0,0,0,0,0,0,0,0,0
Province_11,6. Corn leaves & trunk,37296.8,27276.16,21553.76,15906.8,16942.72,7082.16,23325.68,53542.16,108591.28,129322.56,78387.68,24565.84
Province_11,7. Corncobob,4864.8,3557.76,2811.36,2074.8,2209.92,923.76,3042.48,6983.76,14164.08,16868.16,10224.48,3204.24
Province_11,8. Peeled cassava,14221.44,20837.52,15110.64,3281.76,2129.76,0,0,0,0,0,385.92,2532.96
Province_11,9. Cassava rhizome,3950.4,5788.2,4197.4,911.6,591.6,0,0,0,0,0,107.2,703.6
Province_11,10. Cassava fiber,1185.12,1736.46,1259.22,273.48,177.48,0,0,0,0,0,32.16,211.08
Province_11,11. Cassava peels,5530.56,8103.48,5876.36,1276.24,828.24,0,0,0,0,0,150.08,985.04
